Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Thunderball,DrawNumber
6,8,12,16,36,10,2475
8,18,19,34,38,14,2474
3,23,30,31,32,11,2473
10,18,24,32,35,10,2472
7,12,14,29,39,13,2471
9,10,17,28,35,2,2470
1,6,12,18,20,14,2469
2,10,18,21,24,2,2468
14,15,21,22,31,9,2467
8,20,24,28,34,4,2466
6,13,28,35,36,9,2465
2,4,12,22,35,10,2464
1,4,9,17,37,1,2463
4,19,22,32,33,7,2462
15,17,19,23,26,8,2461
4,22,28,32,38,12,2460
21,27,29,32,33,2,2459
1,3,6,9,18,2,2458
4,12,21,25,31,6,2457
5,9,20,30,36,13,2456
13,34,8,36,39,1,2455
22,25,4,31,15,12,2454
22,20,23,7,32,3,2453
4,18,26,13,29,13,2452
29,27,5,17,28,13,2451
32,2,7,6,39,8,2450
6,20,29,14,9,12,2449
13,12,6,4,37,13,2448
25,32,34,15,11,10,2447
14,31,9,7,1,8,2446
34,30,15,16,9,8,2445
21,9,34,5,24,8,2444
26,6,17,27,15,8,2443
19,30,12,13,10,6,2442
12,30,28,17,27,5,2441
30,31,18,11,6,3,2440
28,12,23,38,13,6,2439
4,22,19,20,29,3,2438
25,1,24,17,37,12,2437
22,30,38,16,7,7,2436
23,27,25,14,8,3,2435
2,21,37,10,15,5,2434
2,26,32,22,39,13,2433
20,24,3,4,13,3,2432
17,31,33,38,3,6,2431
4,11,12,16,34,10,2430
23,29,30,26,4,12,2429
1,29,10,38,25,14,2428
5,32,15,34,13,7,2427
14,2,16,22,38,3,2426
12,3,1,5,33,7,2425
3,11,30,37,29,14,2424
13,29,27,38,21,3,2423
38,8,9,27,12,7,2422
39,8,2,18,14,12,2421
7,39,21,9,27,10,2420
3,26,36,35,16,3,2419
31,36,37,16,3,1,2418
10,30,12,16,6,4,2417
3,16,32,7,29,4,2416
22,28,31,20,29,12,2415
33,18,22,31,38,13,2414
22,33,14,2,31,10,2413
15,34,23,4,12,1,2412
14,2,26,27,12,9,2411
11,36,12,6,31,14,2410
26,15,28,21,17,13,2409
17,20,30,15,25,6,2408
2,30,33,15,1,6,2407
8,34,27,26,3,3,2406
38,32,15,23,33,9,2405
13,18,17,38,37,13,2404
20,34,17,15,16,2,2403
24,11,36,10,3,9,2402
23,3,16,9,28,2,2401
8,35,24,31,27,10,2400
37,13,35,6,24,10,2399
30,29,31,13,6,7,2398
30,21,12,6,23,3,2397
21,38,4,23,10,10,2396
29,23,25,37,31,10,2395
31,16,13,33,19,3,2394
9,27,33,22,24,7,2393
39,29,20,18,35,2,2392
22,9,27,32,23,9,2391
38,26,16,36,21,8,2390
13,11,36,12,9,13,2389
17,12,16,35,38,8,2388
30,10,8,32,18,6,2387
29,26,39,36,21,10,2386
15,34,7,12,22,1,2385
19,6,34,26,8,11,2384
15,37,10,7,25,3,2383
11,7,18,33,2,6,2382
14,32,21,26,38,8,2381
5,32,26,31,29,8,2380
27,17,35,19,24,6,2379
6,30,17,20,5,4,2378
28,35,31,33,36,13,2377
32,4,29,1,6,2,2376
6,12,30,29,23,8,2375
15,28,9,30,14,6,2374
39,4,31,25,36,4,2373
23,36,9,26,15,10,2372
2,3,22,28,35,9,2371
12,30,35,1,28,8,2370
31,14,11,37,19,13,2369
8,37,16,5,20,14,2368
31,20,5,6,21,10,2367
33,24,32,2,36,5,2366
8,32,31,26,18,10,2365
12,20,31,26,38,1,2364
30,29,3,11,27,10,2363
6,11,36,16,30,7,2362
37,15,18,38,5,9,2361
25,20,16,14,15,14,2360
1,14,27,9,7,5,2359
12,36,19,9,35,8,2358
10,18,14,34,2,6,2357
25,6,33,9,36,2,2356
14,8,20,31,4,11,2355
18,26,14,34,12,5,2354
31,12,33,29,11,5,2353
3,6,26,29,31,12,2352
3,4,8,23,25,2,2351
18,24,37,38,39,12,2350
8,13,23,27,35,9,2349
4,7,16,24,34,11,2348
1,3,6,13,14,13,2347
9,30,33,36,37,7,2346
7,11,18,24,38,7,2345
6,8,10,22,25,3,2344
14,20,22,29,39,3,2343
1,7,15,21,30,13,2342
13,14,24,31,34,5,2341
6,8,21,26,35,13,2340
4,16,17,21,26,12,2339
3,7,10,22,39,4,2338
3,23,24,26,28,8,2337
17,20,27,31,37,3,2336
15,23,36,38,39,7,2335
3,8,10,11,22,1,2334
7,21,27,35,39,14,2333
10,21,25,33,36,2,2332
2,19,26,31,34,7,2331
9,19,26,27,38,14,2330
4,14,17,29,32,5,2329
2,3,17,22,25,9,2328
16,21,24,27,37,8,2327
1,2,9,25,26,6,2326
2,20,33,36,38,9,2325
4,15,17,21,22,8,2324
10,15,21,23,30,8,2323
2,7,23,34,35,14,2322
2,19,21,22,31,7,2321
7,18,20,22,31,3,2320
3,15,22,34,38,9,2319
4,15,21,23,24,4,2318
4,6,11,12,16,1,2317
4,23,24,32,36,13,2316
13,16,21,30,37,6,2315
4,31,33,35,39,3,2314
1,11,13,17,19,6,2313
11,15,20,24,38,5,2312
4,11,28,31,38,2,2311
10,11,20,34,38,5,2310
5,7,18,20,23,12,2309
2,8,14,20,21,3,2308
6,11,30,36,39,14,2307
3,23,26,27,39,11,2306
5,20,21,33,37,1,2305
7,17,18,23,30,3,2304
12,16,31,34,37,11,2303
6,14,17,32,37,12,2302
20,24,33,34,37,11,2301
8,13,17,23,34,4,2300
13,21,26,33,36,2,2299
4,18,21,24,29,7,2298
3,9,10,15,38,10,2297
